Country,Resource,Quantity,Unit,Sector,Urgency,Time to ship from Canada to Country (days),Date Resource is Required by (yyyy-mm-dd)
Italy,Tertiary metal products,1007606461979.04,gram,Minerals and mining,0.09,9,2023-05-17
Puerto Rico,Tertiary metal products,940112824507.78,gram,Minerals and mining,0.01,13,2023-05-24
Japan,Tertiary metal products,909912644513.18,gram,Minerals and mining,0.08,9,2023-05-29
Mozambique,Tertiary metal products,853786031834.12,gram,Minerals and mining,0.14,2,2023-05-14
United States of America (the),Tertiary metal products,702776060013.72,gram,Minerals and mining,0.05,1,2023-05-06
Sri Lanka,Tertiary metal products,657052134748.24,gram,Minerals and mining,0.13,5,2023-05-23
Congo (the Democratic Republic of the),Tertiary metal products,617169572023.62,gram,Minerals and mining,0.01,2,2023-05-11
Denmark,Tertiary metal products,595710116998.92,gram,Minerals and mining,0.76,2,2023-05-15
Namibia,Tertiary metal products,564758788039.6,gram,Minerals and mining,0.24,10,2023-05-17
Belize,Tertiary metal products,395576091507.52,gram,Minerals and mining,0.11,4,2023-05-25
Cyprus,Tertiary metal products,372187054540.84,gram,Minerals and mining,0.01,11,2023-05-19
Bermuda,Tertiary metal products,363693991004.96,gram,Minerals and mining,0.03,0,2023-05-21
Costa Rica,Tertiary metal products,362962800104.52,gram,Minerals and mining,0.09,0,2023-05-24
Argentina,Tertiary metal products,271453261011.24,gram,Minerals and mining,0.07,10,2023-05-29
Mongolia,Tertiary metal products,97574976264.92,gram,Minerals and mining,0.09,1,2023-05-11
Turks and Caicos Islands (the),Tertiary metal products,61639574344.04,gram,Minerals and mining,0.06,4,2023-05-09
Singapore,Tertiary metal products,40137248000.0,ounce,Minerals and mining,0.1,7,2023-05-23
Northern Mariana Islands (the),Tertiary metal products,39679808000.0,ounce,Minerals and mining,0.04,4,2023-05-02
South Sudan,Tertiary metal products,33337280000.0,ounce,Minerals and mining,0.07,1,2023-05-03
Mali,Tertiary metal products,31003168000.0,ounce,Minerals and mining,0.09,8,2023-05-23
Dominica,Tertiary metal products,19144160000.0,ounce,Minerals and mining,0.01,2,2023-05-13
American Samoa,Tertiary metal products,10741952000.0,ounce,Minerals and mining,0.02,4,2023-05-02
Nigeria,Tertiary metal products,5745408000.0,ounce,Minerals and mining,0.23,6,2023-05-27
Bosnia and Herzegovina,Tertiary metal products,1730872000.0,pound,Minerals and mining,0.22,6,2023-05-23
Sweden,Tertiary metal products,1424212000.0,pound,Minerals and mining,0.09,6,2023-05-25
Bouvet Island,Tertiary metal products,1106397972.98,kilogram,Minerals and mining,0.09,2,2023-05-02
Dominican Republic (the),Tertiary metal products,1071040447.74,kilogram,Minerals and mining,0.04,13,2023-05-16
Cuba,Tertiary metal products,964449869.53,kilogram,Minerals and mining,0.12,4,2023-05-24
Guadeloupe,Tertiary metal products,872050382.2,kilogram,Minerals and mining,0.22,1,2023-05-11
