sep=|
Country|Target Donation ($CAD)
Albania|58545726
Åland Islands|15763405
Algeria|19234039
American Samoa|5305131
Andorra|30910344
Angola|23008526
Anguilla|9259675
Antarctica|63779462
Antigua and Barbuda|54225836
Argentina|18104076
Armenia|12032835
Aruba|14800136
Australia|30304932
Austria|26857354
Azerbaijan|46696315
Bahamas (the)|28440556
Bahrain|30342034
Bangladesh|14788241
Barbados|20884914
Belarus|23252219
Belgium|22768516
Belize|26862881
Benin|36365116
Bermuda|6659321
Bhutan|30754754
Bolivia (Plurinational State of)|55291838
Bonaire, Sint Eustatius and Saba|10792818
Bosnia and Herzegovina|11128094
Botswana|59058169
Bouvet Island|2690939
Brazil|10606568
British Indian Ocean Territory (the)|56286277
Brunei Darussalam|43378850
Bulgaria|21836896
Burkina Faso|15225618
Burundi|6055764
Cabo Verde|38783541
Cambodia|18151113
Cameroon|45567224
Canada|21072045
Cayman Islands (the)|14037445
Central African Republic (the)|1951076
Chad|48557253
Chile|61885158
China|11236397
Christmas Island|48417698
Cocos (Keeling) Islands (the)|51333957
Colombia|61538489
Comoros (the)|64334789
Congo (the Democratic Republic of the)|2285977
Congo (the)|61844730
Cook Islands (the)|37173080
Costa Rica|20312596
Croatia|49745323
Cuba|21464338
Curaçao|7252582
Cyprus|60481164
Czechia|43707564
Côte d'Ivoire|62479765
Denmark|16115709
Djibouti|33480552
Dominica|23607459
Dominican Republic (the)|2035580
Ecuador|12456551
Egypt|12657903
El Salvador|24247212
Equatorial Guinea|35005012
Eritrea|3345261
Estonia|45156082
Eswatini|20680077
Ethiopia|17077040
Falkland Islands (the) [Malvinas]|21707603
Faroe Islands (the)|49343219
Fiji|26424170
Finland|59947959
France|7431325
French Guiana|19032286
French Polynesia|55926518
French Southern Territories (the)|10921960
Gabon|1901913
Gambia (the)|62425264
Georgia|52549734
Germany|57991002
Ghana|51082890
Gibraltar|1144846
Greece|21532130
Greenland|1897796
Grenada|46238619
Guadeloupe|44625207
Guam|12440626
Guatemala|56003936
Guernsey|15289609
Guinea|1824494
Guinea-Bissau|31151436
Guyana|3866214
Haiti|8160008
Heard Island and McDonald Islands|3937665
Holy See (the)|3249570
Honduras|37499536
Hong Kong|50829628
Hungary|53016107
Iceland|62435405
India|48453728
Indonesia|42578067
Iran (Islamic Republic of)|43827764
Iraq|54669707
Ireland|46146089
Isle of Man|57686883
Israel|37027070
Italy|62890727
Jamaica|5096942
Japan|21835809
Jersey|55879839
Jordan|62974632
Kazakhstan|26217391
Kenya|14364128
Kiribati|39144900
Korea (the Democratic People's Republic of)|39892214
Korea (the Republic of)|49931954
Kuwait|56395074
Kyrgyzstan|37893861
Lao People's Democratic Republic (the)|27792024
Latvia|3582590
Lebanon|15900449
Lesotho|7706374
Liberia|4433172
Libya|15157617
Liechtenstein|49869859
Lithuania|61551347
Luxembourg|11413496
Macao|48243469
Madagascar|20050201
Malawi|6608958
Malaysia|15381175
Maldives|19336565
Mali|17606626
Malta|32198500
Marshall Islands (the)|33242515
Martinique|47894190
Mauritania|20360581
Mauritius|37668170
Mayotte|60519727
Mexico|53716211
Micronesia (Federated States of)|13959893
Moldova (the Republic of)|43094077
Monaco|25382965
Mongolia|9756719
Montenegro|20045629
Montserrat|36831839
Morocco|15736798
Mozambique|14300889
Myanmar|31205364
Namibia|56043499
Nauru|25663163
Nepal|49221159
Netherlands (the)|24195844
New Caledonia|44558806
New Zealand|8390729
Nicaragua|33398462
Niger (the)|28417290
Nigeria|44261972
Niue|1849919
Norfolk Island|8596257
Northern Mariana Islands (the)|24084080
Norway|10971783
Oman|36001152
Pakistan|48873624
Palau|37454450
Palestine, State of|41852687
Panama|52454626
Papua New Guinea|16022309
Paraguay|18374794
Peru|46985535
Philippines (the)|43323947
Pitcairn|57186088
Poland|51262621
Portugal|48883981
Puerto Rico|19246813
Qatar|32980109
Republic of North Macedonia|27622139
Romania|18141469
Russian Federation (the)|26487937
Rwanda|10511966
Réunion|10117075
Saint Barthélemy|23916928
Saint Helena, Ascension and Tristan da Cunha|44233871
Saint Kitts and Nevis|44168490
Saint Lucia|2168359
Saint Martin (French part)|51871350
Saint Pierre and Miquelon|49627829
Saint Vincent and the Grenadines|12898002
Samoa|33087223
San Marino|2767371
Sao Tome and Principe|43563438
Saudi Arabia|41999831
Senegal|49972006
Serbia|59917458
Seychelles|52601467
Sierra Leone|54562790
Singapore|48235618
Sint Maarten (Dutch part)|16732922
Slovakia|21535176
Slovenia|5290771
Solomon Islands|47336166
Somalia|52350152
South Africa|58846106
South Georgia and the South Sandwich Islands|1102511
South Sudan|39709888
Spain|14175642
Sri Lanka|5840131
Sudan (the)|12853298
Suriname|56390783
Svalbard and Jan Mayen|31437684
Sweden|54078071
Switzerland|51076243
Syrian Arab Republic|62513170
Taiwan (Province of China)|53103492
Tajikistan|30573311
Tanzania, United Republic of|10840312
Thailand|44835800
Timor-Leste|39109679
Togo|11766185
Tokelau|3861347
Tonga|9777420
Trinidad and Tobago|25068671
Tunisia|16917839
Turkey|21057058
Turkmenistan|26674544
Turks and Caicos Islands (the)|20550121
Tuvalu|63169199
Uganda|29497838
Ukraine|16102182
United Arab Emirates (the)|13981637
United Kingdom of Great Britain and Northern Ireland (the)|38569862
United States Minor Outlying Islands (the)|7616805
United States of America (the)|51080129
Uruguay|6445410
Uzbekistan|38265414
Vanuatu|61389709
Venezuela (Bolivarian Republic of)|44540243
Viet Nam|29847163
Virgin Islands (British)|25857913
Virgin Islands (U.S.)|47496874
Wallis and Futuna|15570434
Western Sahara|48624403
Yemen|36994981
Zambia|2985556
Zimbabwe|51997757
