sep=|
Country|Resource|Quantity|Unit|Sector|Urgency|Time to ship from Canada to Country (days)|Date Resource is Required by (yyyy-mm-dd)
Albania|Tertiary metal products|319667.41|metric_ton|Minerals and mining|0.01|4|2023-05-04
Albania|Primary non-metallic minerals products|1167662939.3|pound|Minerals and mining|0.11|8|2023-05-29
Albania|Miscellaneous metal products|237606000.0|gram|Minerals and mining|0.11|4|2023-05-05
Albania|Services|518196|hour|Minerals and mining|0.05|4|2023-05-06
Albania|Secondary metal products|597834743.66|gram|Minerals and mining|0.07|0|2023-05-02
Albania|Services and custom work|4587.0|day|Minerals and mining|0.01|3|2023-05-14
Albania|Refined petroleum products (fuels and lubricants)|2699780.0|quart|Energy|0.1|1|2023-05-14
Albania|Primary metallic minerals products|635988.43|ton|Minerals and mining|0.11|2|2023-05-13
Albania|Extraction|104334.87|ton|Forestry|0.09|8|2023-05-23
Albania|Extraction|667861240.93|kilogram|Minerals and mining|0.13|4|2023-05-02
Albania|Secondary paper products|227151087.22|pound|Forestry|0.09|3|2023-05-15
Albania|Services|71850.29|day|Energy|0.03|4|2023-05-04
Albania|Non-metallic minerals|144197.75|ton|Minerals and mining|0.02|0|2023-05-03
Albania|Biofuels|572.99|gallon|Energy|0.01|4|2023-05-06
Albania|Electricity|10842872400000.0|joule|Energy|0.060000000000000005|4|2023-05-25
Åland Islands|Refined petroleum products (fuels and lubricants)|918176.0|pint|Energy|0.13|8|2023-05-29
Åland Islands|Biofuels|28586.59|quart|Energy|0.15|8|2023-05-20
Åland Islands|Services and custom work|82.89|week|Forestry|0.1|3|2023-05-16
Åland Islands|Services|25014|hour|Energy|0.1|3|2023-05-02
Åland Islands|Services and custom work|1140420.0|minute|Minerals and mining|0.05|13|2023-05-19
Åland Islands|Bioenergy and biofuel (from forestry biomass)|9088|gallon|Forestry|0.13|0|2023-05-23
Åland Islands|Primary forestry bioproducts|8475|metric_ton|Forestry|0.03|11|2023-05-21
Åland Islands|Bioenergy|28800000000.0|joule|Energy|0.08|3|2023-05-13
Åland Islands|Crude oil|2760393000.0|cubic_centimeter|Energy|0.04|4|2023-05-12
Åland Islands|Natural gas|3881888.42|gallon|Energy|0.04|6|2023-05-22
Åland Islands|Primary manufacturing|177408000000.0|joule|Minerals and mining|0.03|2|2023-05-14
Åland Islands|Secondary paper products|239544000000.0|gram|Forestry|0.12|4|2023-05-19
Algeria|Services|13542.75|day|Forestry|0.64|8|2023-05-29
Algeria|Crude oil|505.46|cubic_foot|Energy|0.36|2|2023-05-05
American Samoa|Bioenergy and biofuel (from forestry biomass)|22980.0|quart|Forestry|0.029999999999999787|0|2023-05-29
American Samoa|Primary manufacturing|221854|kilowatt_hour|Minerals and mining|0.09|2|2023-05-27
American Samoa|Refined petroleum products (fuels and lubricants)|41225.75|cubic_foot|Energy|0.08|0|2023-05-05
American Samoa|Extraction|2499941688.6|kilogram|Minerals and mining|0.01|3|2023-05-29
American Samoa|Non-metallic minerals|179164000.0|kilogram|Minerals and mining|0.09|3|2023-05-15
American Samoa|Secondary paper products|211362.68|ton|Forestry|0.03|3|2023-05-20
